,random_loss,pretrain_loss,random_acc,pretrain_acc
hidden_units_1,0.10367979593475384,0.09380152065597415,0.97315,0.9733
hidden_units_2,0.10713270270385633,0.0873087946163328,0.9726,0.97525
hidden_units_3,0.10480360302939125,0.07812853824734355,0.97345,0.97795
hidden_units_4,0.10322685490261352,0.07480118989858722,0.97445,0.9781
hidden_units_5,0.10451857380608626,0.07099851337708854,0.9737,0.97895
hidden_units_6,0.10113264017011438,0.07229069986856027,0.9744,0.9788
