,random_loss,pretrain_loss,random_acc,pretrain_acc
hidden_units_1,0.45709444940675215,0.37877747982635585,0.8593,0.8829
hidden_units_2,0.39008482146730983,0.28135067742331693,0.8942,0.9179
hidden_units_3,0.35382388640194457,0.2548406686481002,0.9018,0.9257
hidden_units_4,0.33299565338069204,0.23324678713797303,0.9101,0.9316
hidden_units_5,0.2723745744289134,0.19546235760359565,0.9269,0.9448
