,random_loss,pretrain_loss,random_acc,pretrain_acc
hidden_units_1,1.5256682840876308,0.699829624600874,0.6808,0.7824
hidden_units_2,2.215213941376065,0.7580019651583069,0.5174,0.7586
hidden_units_3,2.299452337531692,0.8113231135190139,0.099,0.7362
hidden_units_4,2.3166893326036804,0.8327590392800625,0.0952,0.7294
hidden_units_5,2.3071274182369055,0.8472318673992503,0.0976,0.7168
hidden_units_6,2.3188228745757193,0.8955117445333978,0.0976,0.6956
