,random_loss,pretrain_loss,random_acc,pretrain_acc
1000,0.45654798389542994,0.3815702088277217,0.8593,0.882
3000,0.45654798389542994,0.3815702088277217,0.8593,0.882
5000,0.45654798389542994,0.3815702088277217,0.8593,0.882
7000,0.45654798389542994,0.3815702088277217,0.8593,0.882
10000,0.45654798389542994,0.3815702088277217,0.8593,0.882
30000,0.45654798389542994,0.3815702088277217,0.8593,0.882
60000,0.45654798389542994,0.3815702088277217,0.8593,0.882
